"title","description"
"Interpreting time shifting","understand that shifting moves a signal left or right without changing its basic shape."
"Delaying a signal","apply $x(t-T)$ and interpret it as shifting the signal right by $T$."
"Advancing a signal","apply $x(t+T)$ and interpret it as shifting the signal left by $T$."
"Reading shift direction from the sign","determine whether a form like $x(t-a)$ represents a delay or an advance."
"Rewriting a shifted piecewise signal","substitute the shifted argument into each branch and adjust the corresponding time intervals."
"Interpreting time shifting physically","connect a time shift to earlier or later arrival of the same waveform."
"Interpreting time scaling","understand that scaling changes how quickly a signal unfolds in time rather than when it begins."
"Compressing a signal in time","apply $x(at)$ with $a>1$ and interpret it as making the signal run faster."
"Expanding a signal in time","apply $x(t/a)$ with $a>1$ and interpret it as making the signal run slower."
"Tracking feature times under scaling","map important times such as $T_1$ and $T_2$ to their new locations after compression or expansion."
"Rewriting a scaled piecewise signal","solve for the new time intervals after replacing $t$ with $at$ or $t/a$."
"Distinguishing shifting from scaling","tell whether an operation moves a signal in time or changes its time rate."
"Interpreting time scaling physically","connect time scaling to playback speed, such as making a recording play faster or slower."
"Interpreting time reversal","understand that $x(-t)$ mirrors a signal across the vertical axis at $t=0$."
"Mapping signal support under reversal","determine how the interval where a signal exists flips across the time axis under reversal."
"Rewriting a time-reversed piecewise signal","replace $t$ with $-t$, simplify the expression, and transform the interval consistently."
"Conceptualizing reversed temporal behavior","describe how time reversal flips the order in which signal events occur."
"Interpreting time reversal physically","connect time reversal to playing a signal backward in time."
"Comparing the effects of three operations","identify whether each operation changes a signal's start time, time scale, or time direction."
"Analyzing transformed exponential signals","apply shifting, scaling, and reversal to exponential signals while preserving the correct piecewise branches."
"Reading continuous-time signal notation","interpret $x(t)$ as a signal whose amplitude varies over time."
"Reading piecewise-defined signals","determine which expression describes the signal on each time interval."
"Recognizing periodicity and fundamental period","identify when a signal repeats and determine its smallest repeating interval."
"Forming the magnitude-squared signal","compute $|x(t)|^2$ as the quantity used in energy and power calculations."
"Evaluating a definite integral","compute accumulated quantity over a finite interval."
"Evaluating improper integrals","evaluate or interpret integrals taken over infinite intervals."
"Understanding limit-based averaging","understand an average as a limit taken as the time window extends to infinity."
"Integrating common signal expressions","handle constants, polynomials, and decaying exponentials when evaluating integrals."
"Interpreting signal size as a scalar","understand signal size as a scalar that reflects both amplitude and duration."
"Relating instantaneous power to amplitude","understand why pointwise power depends on the square of a signal's amplitude."
"Connecting power and energy","interpret power as the rate of energy change and energy as accumulated power over time."
"Computing total signal energy","compute total signal energy with $\int_{-\infty}^{\infty}|x(t)|^2\,dt$."
"Recognizing signals with infinite energy","identify when a signal does not decay enough for total energy to converge."
"Computing average signal power","compute long-run average power for signals whose total energy is infinite."
"Computing periodic-signal power over one period","replace the long-time average with a one-period average when the signal is periodic."
"Choosing between energy and power measures","decide whether total energy or average power is the meaningful descriptor for a given signal."
"Classifying energy signals","identify signals whose total energy is finite and nonzero."
"Classifying power signals","identify signals whose average power is finite and nonzero."
"Splitting piecewise energy integrals","break an energy integral into interval-by-interval pieces and sum the contributions."
"Computing energy of a finite-energy signal","apply the energy formula to a signal with finite support or exponential decay."
"Computing power of a periodic signal","apply the one-period power formula to a repeating waveform such as a ramp or sawtooth."
"Distinguishing decay from repetition","recognize that decaying signals tend to be energy signals, while repeating signals tend to be power signals."
