"lecture","title","description"
"1.6","Forming the magnitude-squared signal","compute $|x(t)|^2$ as the quantity used in energy and power calculations."
"1.6","Evaluating a definite integral","compute accumulated quantity over a finite interval."
"1.6","Evaluating improper integrals","evaluate or interpret integrals taken over infinite intervals."
"1.6","Understanding limit-based averaging","understand an average as a limit taken as the time window extends to infinity."
"1.6","Integrating common signal expressions","handle constants, polynomials, and decaying exponentials when evaluating integrals."
"1.6","Interpreting signal size as a scalar","understand signal size as a scalar that reflects both amplitude and duration."
"1.6","Relating instantaneous power to amplitude","understand why pointwise power depends on the square of a signal's amplitude."
"1.6","Connecting power and energy","interpret power as the rate of energy change and energy as accumulated power over time."
"1.6","Computing total signal energy","compute total signal energy with $\int_{-\infty}^{\infty}|x(t)|^2\,dt$."
"1.6","Recognizing signals with infinite energy","identify when a signal does not decay enough for total energy to converge."
"1.6","Computing average signal power","compute long-run average power for signals whose total energy is infinite."
"1.6","Computing periodic-signal power over one period","replace the long-time average with a one-period average when the signal is periodic."
"1.6","Choosing between energy and power measures","decide whether total energy or average power is the meaningful descriptor for a given signal."
"1.6","Classifying energy signals","identify signals whose total energy is finite and nonzero."
"1.6","Classifying power signals","identify signals whose average power is finite and nonzero."
"1.6","Splitting piecewise energy integrals","break an energy integral into interval-by-interval pieces and sum the contributions."
"1.6","Computing energy of a finite-energy signal","apply the energy formula to a signal with finite support or exponential decay."
"1.6","Computing power of a periodic signal","apply the one-period power formula to a repeating waveform such as a ramp or sawtooth."
"1.6","Distinguishing decay from repetition","recognize that decaying signals tend to be energy signals, while repeating signals tend to be power signals."
